car_name,car_price,year,style,madein,kilometer,province,district,gearbox,fuel,descri
Toyota Land Cruiser 2003,350000000,2003,SUV,Nhập khẩu,280000,Hòa Bình,Lạc Sơn,Số sàn,Máy xăng,"Toyota Land Cruiser 2003. Bán Toyota Land Cruiser 2003 tại Hòa Bình. Xe đẹp ko lỗi, xe đã vào rất nhiều đồ. Thư Lý Auto cam kết: Xe đẹp, giá tốt nhất thị trường. Xe không đâm đụng. Không ngập nước. Hỗ trợ trả góp tối đa, lãi suất ưu đãi. Hỗ trợ sang tên, check hãng. Bảo hành máy móc, động cơ. Liên hệ hotline Mr. Thư 0969190577 (call/Zalo) để được hỗ trợ và nhận xe giá tốt nhất."
Mercedes-Benz E300 AMG 2019,1550000000,2019,Sedan,Trong nước,37000,Hà Nội,Đống Đa,Số tự động,Máy xăng,"Do không còn nhu cầu sử dụng nên mình cần bán xe Mercedes E300 nội thất nâu ngoại thất trắng. Xe sx 2019 đăng ký lần đầu t7 2020. Chạy 36000km. Là chiếc xe đầu tiên, nên đi rất giữ gìn. 100% được bảo dưỡng trong Haxaco, xe bao không đâm đụng, ngập nước. Có duy nhất là mắt đèn bên phải quẹt cành cây, bị vỡ ốp ngoài. Đã thay đèn zin của hãng. Chăm sóc xe từ lúc mua ở Autocare kĩ càng. Nội ngoại thất thơm đét như mới. Bốn vỏ lốp mới thay runflat Pirelli chính hãng mới chạy 1000km. Lắp cam blackvue 11 triệu, thảm xe cao su, còn gói chăm sóc xe tại Autocare. Options lắp thêm nước hoa + làm sạch không khí ion âm. Bảo hiểm tự nguyện mới mua tháng 7. Túm lại, anh em mua về tặng hoặc đi thì chỉ đổ xăng đi."
Ford Escape XLS 2.3 AT 4x2 2011,262000000,2011,SUV,Trong nước,140000,Hà Nội,Long Biên,Số tự động,Máy xăng,"Chính chủ nhờ bán. Ford Escape XLS At 2011 Hà Nội từ mới. Đi zin 14,6 vạn km. Đã lên nhiều đồ sịn: Ghế da napan sịn, màn hình androi, camera hành trình, gương gập điện, bậc bước chân, đèn sương mù biled.. Cảm kết máy gầm số zin! Liên hệ ngay để xem xe."
BMW 320i 2016,650000000,2016,Sedan,Nhập khẩu,77000,Tp.HCM,Quận 2,Số tự động,Máy xăng,"BMW 320i 2016. Bán BMW 320i 2016 tại TP. HCM. Xe đẹp, chủ đi giữ gìn. TPDcar cam kết: Xe đẹp, giá tốt nhất thị trường. Xe không đâm đụng. Không ngập nước. Hỗ trợ trả góp tối đa với lãi suất ưu đãi. Bảo hành máy móc, động cơ. Liên hệ hotline Mr. Khoa 0938088802 (call/Zalo) để được hỗ trợ thông tin và nhận xe giá tốt nhất."
Peugeot 2008 2022,615000000,2022,SUV,Trong nước,50000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Peugoet 2008 AT sx 2022 odo 5 vạn km. Bán 615 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
Mitsubishi Outlander 2014,415000000,2014,Hatchback,Trong nước,120000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Lên hình siêu phẩn Mitsubishi oulander sport sx 2014 nhập nhật nguyên con xe zin đẹp hết chạy đúng 12 vạn km bảo hành luôn cho anh em xe 1 chủ từ mới. Gía 415 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
Kia Sorento 2.5G Premium 2022,989000000,2022,SUV,Trong nước,46000,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Sorenội thấto 7 chỗ bản Sig máy Xăng 2.5 2022, Cực đẹp Sơn zin cả xe! Thiết kế thể thao tinh tế, Tiện nghi sang trọng. Động cơ Smartstream, 4 chế độ lái, đèn full Led cực đẹp. Option miên man: Rada, SmartSensing hỗ trợ lái an toàn. 4 ghế điện, sưởi + làm mát ghế, cửa nóc. Giàn lốp Mit, Màn androi cỡ lớn & Cam 360, bệ chân, film cách nhiệt full kính, thảm Kata. Xe đi 4,6 vạn cực giữ gìn, nội thất rất mới. Giá êm: 989 triệu, xe đẹp bao check toàn quốc. Hỗ trợ trả góp, thủ tục nhanh gọn, lãi suất ưu đãi. Các bác nhu cầu gọi em Vương. 5 Trần vỹ, Cầu giấy, Hà nội."
Mercedes-Benz GLC 200 V1 2022,1538000000,2022,SUV,Trong nước,6000,Tp.HCM,Quận 7,Số tự động,Máy xăng,"#MercedesGLC200 bản (V1) Sx2022 Odo: 6.666 Miles (siêu siêu lướt). Màu đen / nội thất kem. GLC200 (V1), được trang bị thêm đèn viền Led nội thất 64 màu, nẹp bậc chân Mercedes phát sáng. Chiếc xe đa dụng cực kỳ linh hoạt, gầm cao. Xe trang bị động cơ 2.0L 197Hp cùng hộp số tự động 9 cấp với 5 chế độ lái. Đèn Full LED, mâm 18 inch, ghế da Artico cao cấp, gỗ nâu ốp, màn hình 10.25 inch cảm ứng, Apple Carplay và Android Auto,.. Bảo hành chính hãng không giới hạn km, Bao test hãng Toàn Quốc. Tặng ngay gói chăm sóc xe và phủ Ceramic cao cấp. CAM KẾT: Xe không đâm đụng, không ngập nước, km chuẩn. Ngân hàng hỗ trợ 70% 90%. Giá tham khảo: 1. Tỷ 538 VND. 0966876509 (HÀ TẤN PHÁT). Salon Good Car Always like new. 290 Nguyễn Văn Linh, Bình Thuận, Quận 7, TPHCM."
Mercedes-Benz GLC 200 V1 2022,1758000000,2022,SUV,Trong nước,22345,Tp.HCM,Quận 7,Số tự động,Máy xăng,"#MercedesGLC200 4MATIC bản (V1) Sx 2022 Odo: 22.345 Cay (chất xe chuẩn mới). Màu trắng / nội thất kem. GLC200 4MATIC (V1) Được bổ sung thêm tính năng đá cốp, keyless go, mâm 19 inch thiết kế mới. Động cơ 2.0L 197Hp cùng Hộp số 9 cấp với 5 chế độ lái đa dụng, 13 loa Burmester, Cam 360, đèn viền nội thất 64 màu, đồng hồ điện tử, ốp gỗ nội thất, sạc ko dây.. Vvv. Bảo hành chính hãng không giới hạn km, Bao test hãng Toàn Quốc. Tặng ngay gói chăm sóc xe và phủ Ceramic cao cấp. CAM KẾT: Xe không đâm đụng, không ngập nước, km chuẩn. Ngân hàng hỗ trợ 70% 90%. Giá tham khảo: 1. Tỷ 758 VND. Hotline Inbox Zalo (HÀ TẤN PHÁT). : 0966876509 0983471110. Salon Good Car Always like new. 290 Nguyễn Văn Linh, Bình Thuận, Quận 7, TPHCM."
Mercedes-Benz GLC 300 4Matic 2024,2498000000,2024,SUV,Trong nước,26789,Tp.HCM,Quận 7,Số tự động,Máy xăng,"#MercedesBenz GLC3004Matic Model 2024 Odo 26.789 Cây (sang trọng hiện đại). Màu đen/nội thất nâu. Động cơ 2.0L tăng áp kết hợp động cơ điện EQ Boots sản sinh công suất 258 mã lực, hộp số 9 cấp cùng hệ thống dẫn động 4 bánh toàn thời gian. Xe trang bị: Đèn pha Digital Light hiện đại bậc nhất, mâm AMG 20 inch, nội thất thể thao AMG Line bọc da Artico, ốp nhôm vân carbon, màn hình cảm ứng 11.9 inch MBUX mới, 15 loa Burmester 3D, đèn viền 64 màu, sạc không dây, cửa sổ trời toàn cảnh, đá cốp,.. Bảo hành chính hãng không giới hạn km, Bao test hãng Toàn Quốc. Tặng ngay gói chăm sóc xe và phủ Ceramic cao cấp. CAM KẾT: Xe không đâm đụng, không ngập nước, km chuẩn. Ngân hàng hỗ trợ 70% 90%. Giá tham khảo: 2. Tỷ 498 VND. 0966876509 (HÀ TẤN PHÁT). Salon Good Car Always like new. 290 Nguyễn Văn Linh, Bình Thuận, Quận 7, TPHCM."
Mercedes-Benz GLC 300 4Matic V1 2022,1958000000,2022,SUV,Trong nước,15000,Tp.HCM,Quận 7,Số tự động,Máy xăng,"#MercedesGLC3004MATIC (V1) Sx 2022 Odo: 15.000 Cay (siêu siêu lướt). Màu Xám Titan /nội thất đen. GLC300AMG (V1) được trang bị: Động cơ 2.0L 258Hp dẫn động 4 bánh mượt mà, mâm 19inch AMG, Bodykit AMG, 13 loa Burmester, Cam 360, đồng hồ điện tử,, cửa sổ trời Panorama, đèn pha MultiBeam Led, ghế da cao cấp, keyless go.. Cùng với đó là vô lăng DCut AMG, đá cốp rảnh tay. Bảo hành chín hãng không giới hạn km, Bao test hãng Toàn Quốc. Tặng ngay gói chăm sóc xe và phủ Ceramic cao cấp. CAM KẾT: Xe không đâm đụng, không ngập nước, km chuẩn. Ngân hàng hỗ trợ 70% 90%. Giá tham khảo: 1. Tỷ 958 VND. 0966876509 (HÀ TẤN PHÁT). Salon Good Car Always like new. 290 Nguyễn Văn Linh, Bình Thuận, Quận 7, TPHCM."
